Name,Source,Category,Description,Link,Scope,Core Service,Strengths,Gaps,Status,Tags,Notes
awesome-immigration,GitHub,,,https://github.com/AwesomeVisa/awesome-immigration,,,,,misleading,,
Is-Now-Illegal,GitHub,,,https://github.com/ivanseidel/Is-Now-Illegal,,,,,broken,,
2024-h1b-immigration-data,GitHub,Data,US H-1B Visa Lottery and Petition Data FY 2021 - FY 2024,https://github.com/BloombergGraphics/2024-h1b-immigration-data,Visa Lottery,US H-1B Visa Lottery and Petition Data FY 2021 - FY 2024,simple,only up to 2023,verified,db,
CanadaImmigration,GitHub,,,https://github.com/Map2Canada/CanadaImmigration,,,,,irrelevant,,
us-immigration-faq,GitHub,Information,US immigration FAQ with a focus on the tech industry,https://github.com/t3nsor/us-immigration-faq,US Law,FAQ,,,verified,tech,
redadalertas,GitHub,App,A web app for crowdsourcing immigration raid data.,https://github.com/Cosecha/redadalertas,,alert app,,,verified,important,
NIEBot,GitHub,,A tool to help Barcelonian people get various immigration-related appointments via the Cita previa process,https://github.com/AFFT-520/NIEBot,,,,,to-review,,
berlin-termin-bot,GitHub,,This bot helps you book an appointment from Berlin LEA (immigration office) or Bürgeramt (e.g Anmeldung).,https://github.com/chialunwu/berlin-termin-bot,,,,,to-review,,
immigration-connect,GitHub,,Building tools to connect and coordinate efforts to help those affected by immigration law changes in partnership with the NILC,https://github.com/Data4Democracy/immigration-connect,,,,,to-review,,
yourhaq,GitHub,,Community driven content for people navigating changing US immigration laws.,https://github.com/aymannadeem/yourhaq,,,,,to-review,,
Asylum_Tutorials,GitHub,,Code for tutorials posted on my blog.,https://github.com/asylum2010/Asylum_Tutorials,,,,,to-review,,
lucify-refugees,GitHub,,A visualization of the flow of asylum seekers to European countries from 2012 onwards.,https://github.com/lucified/lucify-refugees,,,,,to-review,,
new_sanctuary_asylum,GitHub,,,https://github.com/CZagrobelny/new_sanctuary_asylum,,,,,to-review,,
Asylum-Teaser,GitHub,,"Decay surrounds you, dread around every corner. You feel imprisoned while traversing the endless hallways... Asylum is a chilling journey through the intricate floors of the Hanwell Mental Institute, in which unimaginable atrocities have occurred in the past. This horror adventure aims to marry cutting edge visuals with thrilling storytelling to give you the ultimate experience in fear.",https://github.com/Senscape/Asylum-Teaser,,,,,to-review,,
