Name,Source,Category,Description,Link
awesome-immigration,GitHub,Repo,An Awesome list of long-term visas,https://github.com/AwesomeVisa/awesome-immigration
Is-Now-Illegal,GitHub,Repo,🚫 A NERD protest against Trump's Immigration ban,https://github.com/ivanseidel/Is-Now-Illegal
2024-h1b-immigration-data,GitHub,Repo,US H-1B Visa Lottery and Petition Data FY 2021 - FY 2024,https://github.com/BloombergGraphics/2024-h1b-immigration-data
CanadaImmigration,GitHub,Repo,关于加拿大移民的信息,https://github.com/Map2Canada/CanadaImmigration
us-immigration-faq,GitHub,Repo,US immigration FAQ with a focus on the tech industry,https://github.com/t3nsor/us-immigration-faq
redadalertas,GitHub,Repo,A web app for crowdsourcing immigration raid data.,https://github.com/Cosecha/redadalertas
NIEBot,GitHub,Repo,A tool to help Barcelonian people get various immigration-related appointments via the Cita previa process,https://github.com/AFFT-520/NIEBot
berlin-termin-bot,GitHub,Repo,This bot helps you book an appointment from Berlin LEA (immigration office) or Bürgeramt (e.g Anmeldung).,https://github.com/chialunwu/berlin-termin-bot
immigration-connect,GitHub,Repo,Building tools to connect and coordinate efforts to help those affected by immigration law changes in partnership with the NILC,https://github.com/Data4Democracy/immigration-connect
yourhaq,GitHub,Repo,Community driven content for people navigating changing US immigration laws.,https://github.com/aymannadeem/yourhaq
Asylum_Tutorials,GitHub,Repo,Code for tutorials posted on my blog.,https://github.com/asylum2010/Asylum_Tutorials
lucify-refugees,GitHub,Repo,A visualization of the flow of asylum seekers to European countries from 2012 onwards.,https://github.com/lucified/lucify-refugees
new_sanctuary_asylum,GitHub,Repo,,https://github.com/CZagrobelny/new_sanctuary_asylum
BmLauncherAsylumNET6,GitHub,Repo,Batman: Arkham Asylum - Advanced Launcher (.NET 6 Edition),https://github.com/neatodev/BmLauncherAsylumNET6
BmLauncher,GitHub,Repo,Batman: Arkham Asylum - Advanced Launcher,https://github.com/neatodev/BmLauncher
Asylum-Teaser,GitHub,Repo,"Decay surrounds you, dread around every corner. You feel imprisoned while traversing the endless hallways... Asylum is a chilling journey through the intricate floors of the Hanwell Mental Institute, in which unimaginable atrocities have occurred in the past. This horror adventure aims to marry cutting edge visuals with thrilling storytelling to give you the ultimate experience in fear.",https://github.com/Senscape/Asylum-Teaser
